ScaffoldName  	FromPosition  	ToPosition  Sense TranscriptName  TranscriptPath  GeneAccession GeneName  GeneAltNames  GenePfam  GeneGo  CellularComponent MolecularFunction BiologicalProcess	Sense 	GeneAccession	 GeneName 	 GeneAltNames  	GenePfam 	 GeneGo  	CellularComponent	 MolecularFunction	 BiologicalProcess
LS062329.1	6106	6106	+	Q0P5D3	G1/S-specific cyclin-D2		 PF02984;PF00134;	 GO:0097129;GO:0000307;GO:0005737;GO:0016020;GO:0005634;GO:0016538;GO:0019901;GO:0008344;GO:0051301;GO:0071481;GO:0007616;GO:0044772;GO:1900087;GO:0006468;GO:0000079;	  C:cyclin D2-CDK4 complex; C:cyclin-dependent protein kinase holoenzyme complex; C:cytoplasm; C:membrane; C:nucleus;	  F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding;	  P:adult locomotory behavior; P:cell division; P:cellular response to X-ray; P:long-term memory; P:mitotic cell cycle phase transition; P:positive regulation of G1/S transition of mitotic cell cycle; P:protein phosphorylation; P:regulation of cyclin-dependent protein serine/threonine kinase activity;
LS062329.1	6106	6106	+	Q0P5D3	G1/S-specific cyclin-D2		 PF02984;PF00134;	 GO:0097129;GO:0000307;GO:0005737;GO:0016020;GO:0005634;GO:0016538;GO:0019901;GO:0008344;GO:0051301;GO:0071481;GO:0007616;GO:0044772;GO:1900087;GO:0006468;GO:0000079;	  C:cyclin D2-CDK4 complex; C:cyclin-dependent protein kinase holoenzyme complex; C:cytoplasm; C:membrane; C:nucleus;	  F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding;	  P:adult locomotory behavior; P:cell division; P:cellular response to X-ray; P:long-term memory; P:mitotic cell cycle phase transition; P:positive regulation of G1/S transition of mitotic cell cycle; P:protein phosphorylation; P:regulation of cyclin-dependent protein serine/threonine kinase activity;
LS070286.1	6277	6277	+	O97972	Indolethylamine N-methyltransferase	Aromatic alkylamine N-methyltransferase;Thioether S-methyltransferase;	 PF01234;	 GO:0005829;GO:0030748;GO:0102707;GO:0004790;GO:0009308;GO:0032259;GO:0009636;	  C:cytosol;	  F:amine N-methyltransferase activity; F:S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity; F:thioether S-methyltransferase activity;	  P:amine metabolic process; P:methylation; P:response to toxic substance;
LS070286.1	6277	6277	+	O97972	Indolethylamine N-methyltransferase	Aromatic alkylamine N-methyltransferase;Thioether S-methyltransferase;	 PF01234;	 GO:0005829;GO:0030748;GO:0102707;GO:0004790;GO:0009308;GO:0032259;GO:0009636;	  C:cytosol;	  F:amine N-methyltransferase activity; F:S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity; F:thioether S-methyltransferase activity;	  P:amine metabolic process; P:methylation; P:response to toxic substance;
LS148351.1	2003	2003	-	P04323	Retrovirus-related Pol polyprotein from transposon 17.6		 PF17921;PF17917;PF00078;	 GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074;	 	  F:aspartic-type endopeptidase activity; F:endonuclease activity; F:nucleic acid binding; F:RNA-directed DNA polymerase activity;	  P:DNA integration;
LS203364.1	253	253	+	Q8I7P9	Retrovirus-related Pol polyprotein from transposon opus		 PF17921;PF17917;PF00665;PF00078;	 GO:0005634;GO:0004519;GO:0003676;GO:0008233;GO:0003964;GO:0015074;GO:0006313;	  C:nucleus;	  F:endonuclease activity; F:nucleic acid binding; F:peptidase activity; F:RNA-directed DNA polymerase activity;	"  P:DNA integration; P:transposition, DNA-mediated;"
LS226733.1	658	658	-	B9L823	Deoxyuridine 5'-triphosphate nucleotidohydrolase {ECO:0000255|HAMAP-Rule:MF_00116}	dUTP pyrophosphatase {ECO:0000255|HAMAP-Rule:MF_00116};	 PF00692;	 GO:0004170;GO:0000287;GO:0006226;GO:0046081;	 	  F:dUTP diphosphatase activity; F:magnesium ion binding;	  P:dUMP biosynthetic process; P:dUTP catabolic process;
LS226733.1	658	658	-	Q9J5G5	Deoxyuridine 5'-triphosphate nucleotidohydrolase	dUTP pyrophosphatase;	 PF00692;	 GO:0004170;GO:0000287;GO:0006226;GO:0046081;	 	  F:dUTP diphosphatase activity; F:magnesium ion binding;	  P:dUMP biosynthetic process; P:dUTP catabolic process;
LS241916.1	1021	1021	+	A4FUB7	Gypsy retrotransposon integrase-like protein 1		 PF17921;	 GO:0003676;GO:0015074;	 	  F:nucleic acid binding;	  P:DNA integration;
LS243346.1	778	778	+	A4FUB7	Gypsy retrotransposon integrase-like protein 1		 PF17921;	 GO:0003676;GO:0015074;	 	  F:nucleic acid binding;	  P:DNA integration;
